Date,Price,Open,High,Low,Vol.,Change %
"Dec 10, 2020",177.92,178.27,178.55,177.78,496.71K,-0.15%
"Dec 09, 2020",178.19,178.08,178.3,177.91,418.76K,-0.05%
"Dec 08, 2020",178.28,177.89,178.35,177.82,537.13K,0.24%
"Dec 07, 2020",177.85,177.45,177.95,177.36,542.57K,0.38%
"Dec 04, 2020",177.18,177.44,177.58,177.15,638.06K,1.28%
"Dec 03, 2020",174.94,174.63,175.18,174.56,1.33M,0.26%
"Dec 02, 2020",174.48,174.56,174.69,174.37,1.14M,-0.05%
"Dec 01, 2020",174.56,175.32,175.45,174.47,1.19M,-0.39%
"Nov 30, 2020",175.25,175.63,175.72,175.21,744.76K,-0.14%
"Nov 27, 2020",175.5,175.59,175.65,175.41,360.72K,-0.01%
"Nov 26, 2020",175.51,175.18,175.59,175.16,333.13K,0.10%
"Nov 25, 2020",175.33,175.1,175.46,174.96,507.15K,0.04%
"Nov 24, 2020",175.26,175.37,175.47,175.12,520.86K,-0.09%
"Nov 23, 2020",175.41,175.7,175.71,175.26,552.78K,-0.07%
"Nov 20, 2020",175.53,175.45,175.73,175.25,512.29K,0.11%
"Nov 19, 2020",175.33,175.2,175.41,175.1,521.65K,0.12%
"Nov 18, 2020",175.12,175.28,175.46,174.91,526.04K,-0.03%
"Nov 17, 2020",175.18,174.94,175.27,174.85,526.43K,0.14%
"Nov 16, 2020",174.93,174.94,175.29,174.45,675.21K,-0.01%
"Nov 13, 2020",174.94,174.91,175.17,174.78,512.60K,0.11%
"Nov 12, 2020",174.74,174.42,174.97,174.26,665.82K,0.25%
"Nov 11, 2020",174.3,174.01,174.5,173.66,653.88K,0.16%
"Nov 10, 2020",174.02,174.54,174.63,173.92,994.34K,-0.19%
"Nov 09, 2020",174.36,176.09,176.46,174.26,1.19M,-0.95%
"Nov 06, 2020",176.03,176.42,176.49,175.86,591.31K,-0.17%
"Nov 05, 2020",176.33,176.52,176.65,176.09,616.56K,-0.04%
"Nov 04, 2020",176.4,175.71,176.83,175.53,787.73K,0.22%
"Nov 03, 2020",176.02,176.29,176.37,175.82,584.73K,-0.12%
"Nov 02, 2020",176.24,176.25,176.36,175.9,530.00K,0.05%
"Oct 30, 2020",176.15,176.18,176.38,175.9,683.41K,-0.09%
"Oct 29, 2020",176.31,176.03,176.44,175.92,698.75K,0.14%
"Oct 28, 2020",176.07,176.08,176.43,175.95,793.21K,0.07%
"Oct 27, 2020",175.94,175.45,176.01,175.27,590.38K,0.37%
"Oct 26, 2020",175.3,175.5,175.73,175.1,573.12K,0.02%
"Oct 23, 2020",175.26,175.2,175.52,175,551.14K,0.04%
"Oct 22, 2020",175.19,175.54,175.73,175.17,613.67K,-0.30%
"Oct 21, 2020",175.71,175.67,175.86,175.34,647.92K,-0.06%
"Oct 20, 2020",175.81,176.1,176.24,175.66,585.02K,-0.17%
"Oct 19, 2020",176.11,176.01,176.17,175.77,486.45K,0.02%
"Oct 16, 2020",176.07,175.82,176.29,175.77,478.75K,0.10%
"Oct 15, 2020",175.9,175.37,176.28,175.35,836.38K,0.31%
"Oct 14, 2020",175.35,175.07,175.5,175.04,546.06K,0.17%
"Oct 13, 2020",175.06,174.88,175.13,174.76,492.61K,0.14%
"Oct 12, 2020",174.81,174.74,174.87,174.6,307.19K,0.07%
"Oct 09, 2020",174.68,174.52,174.86,174.49,492.24K,0.11%
"Oct 08, 2020",174.48,174.1,174.58,174.04,455.63K,0.20%
"Oct 07, 2020",174.13,174.58,174.61,173.93,705.09K,-0.08%
"Oct 06, 2020",174.27,174.18,174.65,174.15,664.92K,-0.09%
"Oct 05, 2020",174.42,174.67,174.9,174.19,529.43K,-0.14%
"Oct 02, 2020",174.66,174.61,174.97,174.6,526.39K,0.00%
"Oct 01, 2020",174.66,174.5,174.71,174.17,715.32K,0.08%
"Sep 30, 2020",174.52,174.81,174.95,174.34,714.17K,-0.20%
"Sep 29, 2020",174.87,174.63,174.9,174.58,498.12K,0.14%
"Sep 28, 2020",174.62,174.58,174.68,174.31,427.30K,-0.03%
"Sep 25, 2020",174.67,174.27,174.7,174.16,472.17K,0.13%
"Sep 24, 2020",174.44,174.43,174.72,174.22,557.16K,0.13%
"Sep 23, 2020",174.21,174.38,174.64,174.19,574.54K,-0.09%
"Sep 22, 2020",174.37,174.56,174.74,174.25,588.25K,-0.16%
"Sep 21, 2020",174.65,174.08,174.85,173.95,608.20K,0.33%
"Sep 18, 2020",174.07,174.07,174.43,173.93,438.52K,-0.11%
"Sep 17, 2020",174.26,174.05,174.45,173.74,647.27K,0.20%
"Sep 16, 2020",173.92,174.12,174.29,173.84,455.12K,-0.05%
"Sep 15, 2020",174,174.05,174.15,173.78,472.41K,0.00%
"Sep 14, 2020",174,174.02,174.32,173.91,433.07K,0.02%
"Sep 11, 2020",173.96,173.66,174.04,173.54,462.19K,0.49%
"Sep 10, 2020",173.11,173.61,173.91,173.06,665.07K,-0.33%
"Sep 09, 2020",173.68,174.34,174.41,173.51,607.81K,-0.33%
"Sep 08, 2020",174.25,173.71,174.39,173.61,621.07K,0.31%
"Sep 07, 2020",173.71,173.68,174,173.33,424.90K,-0.13%
"Sep 04, 2020",173.93,174.13,174.19,173.51,627.14K,-1.77%
"Sep 03, 2020",177.07,176.74,177.18,176.49,1.29M,0.23%
"Sep 02, 2020",176.67,176.12,176.82,176,1.14M,0.54%
"Sep 01, 2020",175.72,175.46,176.18,175.17,947.62K,0.09%
"Aug 31, 2020",175.56,175.63,175.78,175.22,629.22K,-0.07%
"Aug 28, 2020",175.68,175.29,175.82,175.06,916.05K,0.14%
"Aug 27, 2020",175.44,175.94,176.58,175.28,873.37K,-0.13%
"Aug 26, 2020",175.66,176,176.04,175.47,733.62K,-0.13%
"Aug 25, 2020",175.89,176.95,176.95,175.75,760.04K,-0.64%
"Aug 24, 2020",177.02,177.21,177.25,176.73,461.45K,-0.05%
"Aug 21, 2020",177.1,176.87,177.37,176.75,531.59K,0.08%
"Aug 20, 2020",176.95,176.58,177.18,176.45,562.70K,0.22%
"Aug 19, 2020",176.57,176.47,176.87,176.39,542.39K,0.08%
"Aug 18, 2020",176.43,176.14,176.51,176.03,514.88K,0.12%
"Aug 17, 2020",176.21,175.61,176.27,175.54,470.45K,0.26%
"Aug 14, 2020",175.76,175.26,175.81,175.25,486.10K,0.11%
"Aug 13, 2020",175.56,176.43,176.6,175.27,635.29K,-0.39%
"Aug 12, 2020",176.24,176.86,176.88,175.93,642.98K,-0.24%
"Aug 11, 2020",176.66,177.39,177.5,176.56,562.34K,-0.47%
"Aug 10, 2020",177.5,177.16,177.64,176.89,366.17K,0.19%
"Aug 07, 2020",177.17,177.38,177.67,177.07,394.37K,-0.24%
"Aug 06, 2020",177.6,177.02,177.81,176.92,547.06K,0.28%
"Aug 05, 2020",177.1,177.96,178,177,492.40K,-0.40%
"Aug 04, 2020",177.81,177.31,178.01,177.19,454.20K,0.28%
"Aug 03, 2020",177.31,177.44,177.48,177.03,380.28K,-0.12%
"Jul 31, 2020",177.52,177.71,178.01,177.25,573.93K,-0.10%
"Jul 30, 2020",177.69,177,177.8,176.92,531.23K,0.42%
"Jul 29, 2020",176.95,177.15,177.29,176.83,431.54K,-0.10%
"Jul 28, 2020",177.13,176.51,177.24,176.49,494.53K,0.19%
"Jul 27, 2020",176.8,176.06,176.87,175.96,481.82K,0.40%
"Jul 24, 2020",176.09,176.77,176.98,175.95,608.25K,-0.36%
"Jul 23, 2020",176.72,176.79,176.89,176.59,404.14K,-0.12%
"Jul 22, 2020",176.93,176.37,176.95,176.2,482.28K,0.32%
"Jul 21, 2020",176.37,176.24,176.45,176.06,407.57K,0.00%
"Jul 20, 2020",176.37,176.19,176.54,175.77,465.20K,0.06%
"Jul 17, 2020",176.27,176.41,176.68,176.1,332.01K,-0.20%
"Jul 16, 2020",176.62,176.17,176.74,176.07,472.60K,0.28%
"Jul 15, 2020",176.12,176.03,176.47,175.92,538.08K,-0.05%
